"","Normal","Tumor"
"ENSG00000031823.14",17.956454,7.697051
"ENSG00000032219.19",0.96694,1.960953
"ENSG00000032389.13",2.366721,3.706764
"ENSG00000032444.17",2.484721,5.304364
"ENSG00000032742.18",3.235531,4.599238
"ENSG00000033011.14",23.246743,15.097484
"ENSG00000033030.16",14.296276,12.517605
"ENSG00000033050.9",2.399974,12.564897
"ENSG00000033100.17",3.131099,1.488524
"ENSG00000033122.21",10.654815,6.151589
"ENSG00000033170.17",421.965625,160.591392
"ENSG00000033178.13",2.90762,4.007213
"ENSG00000033327.13",0,0.613291
"ENSG00000033627.18",34.566536,13.431719
"ENSG00000033800.14",4.651678,3.457258
"ENSG00000033867.18",4.946194,6.536706
"ENSG00000034053.15",10.809387,5.610435
"ENSG00000034152.20",2.836572,4.098538
"ENSG00000034239.11",4.822157,2.557212
"ENSG00000034510.6",0,88.216688
"ENSG00000034533.12",1.138063,0
"ENSG00000034677.13",7.853338,11.816883
"ENSG00000034693.15",7.174478,0.518628
"ENSG00000034713.8",3.808948,0.962183
"ENSG00000034971.17",0,0.738492
"ENSG00000035115.22",7.320779,7.03507
"ENSG00000035141.10",15.025815,9.436876
"ENSG00000035403.18",6.31936,4.87562
"ENSG00000035499.13",0,3.007714
"ENSG00000035664.11",112.150385,54.999374
"ENSG00000035681.9",0,10.604995
"ENSG00000035687.10",8.82373,1.323832
"ENSG00000035720.8",0,0
"ENSG00000035862.13",1.472185,3.384758
"ENSG00000035928.17",6.667679,2.581784
"ENSG00000036054.13",0,3.340343
"ENSG00000036257.14",15.804614,6.332985
"ENSG00000036448.10",0.883214,5.577865
"ENSG00000036473.9",0.794378,0.418365
"ENSG00000036530.9",15.387288,11.526548
"ENSG00000036549.13",12.6422,15.070014
"ENSG00000036565.15",2.918077,1.774695
"ENSG00000036672.16",0,1.221545
"ENSG00000036828.17",119.856106,25.918176
"ENSG00000037042.9",13.08346,0.212062
"ENSG00000037241.7",0,3.1287
"ENSG00000037280.16",3.971035,1.37079
"ENSG00000037474.15",2.81931,10.426279
"ENSG00000037637.11",5.596319,6.981471
"ENSG00000037749.13",6.882742,6.700043
"ENSG00000037757.14",16.303072,11.99564
"ENSG00000037897.17",11.461982,3.749374
"ENSG00000037965.6",0,1.496638
"ENSG00000038002.9",1.794036,0.726596
"ENSG00000038210.14",0,0.677916
"ENSG00000038219.13",16.656335,36.739609
"ENSG00000038274.18",4.449206,15.396277
"ENSG00000038295.8",1.002335,2.255084
"ENSG00000038358.15",0,1.697564
"ENSG00000038382.23",3.044599,17.924421
"ENSG00000038427.16",1.805776,4.721318
"ENSG00000038532.17",4.088203,3.532571
"ENSG00000038945.15",5.834895,4.631815
"ENSG00000039068.20",6.775839,9.443792
"ENSG00000039123.16",224.31473,61.914745
"ENSG00000039139.11",5.447809,4.872838
"ENSG00000039319.17",43.518997,29.536365
"ENSG00000039523.20",16.394591,5.434623
"ENSG00000039537.16",9.293135,7.6374
"ENSG00000039560.14",8.680861,7.329942
"ENSG00000039600.11",0.780213,1.281657
"ENSG00000039650.12",12.925801,10.116161
"ENSG00000039987.7",11.203065,0.83454
"ENSG00000040199.18",5.002189,4.681832
"ENSG00000040275.17",1.716408,3.665894
"ENSG00000040341.18",10.738854,7.106861
"ENSG00000040487.13",9.541866,4.317889
"ENSG00000040531.16",7.412776,1.055174
"ENSG00000040608.14",9.916686,5.229962
"ENSG00000040633.13",0.844656,0
"ENSG00000040731.10",2.721253,0.914376
"ENSG00000040933.16",2.983542,3.06492
"ENSG00000041353.10",2.565179,0.335242
"ENSG00000041357.16",8.643889,7.086002
"ENSG00000041515.16",1.700588,3.506443
"ENSG00000041802.11",0.216748,6.27713
"ENSG00000041880.15",1.504236,2.951641
"ENSG00000041982.17",12.435046,2.389654
"ENSG00000041988.16",0,1.09919
"ENSG00000042062.13",14.156905,11.92906
"ENSG00000042088.14",0,4.475092
